ID_16S,ID_ITS,Jar_ID,Timepoint,Block,Mineral,Litter,respired_litter_c_perc,maom_formation_efficiency
LupLancExp1-1-A-F-3-2-38-16S-1,LupLancExp1-1-A-F-3-2-38-ITS-1,2_38,126 Days,3,Kaolinite,Winter Wheat,64.28934844,0.296721426
LupLancExp1-1-A-E-7-2-39-16S-1,LupLancExp1-1-A-E-7-2-39-ITS-1,2_39,126 Days,4,Kaolinite,Winter Wheat,60.45881521,0.31960998
LupLancExp1-1-A-G-4-2-40-16S-1,LupLancExp1-1-A-G-4-2-40-ITS-1,2_40,126 Days,5,Kaolinite,Winter Wheat,60.10243734,0.330814327
LupLancExp1-1-A-H-2-2-41-16S-1,LupLancExp1-1-A-H-2-2-41-ITS-1,2_41,126 Days,1,Kaolinite,White Clover,71.41331507,0.26442674
LupLancExp1-1-A-A-3-2-42-16S-1,LupLancExp1-1-A-A-3-2-42-ITS-1,2_42,126 Days,2,Kaolinite,White Clover,71.78294106,0.252855285
LupLancExp1-1-A-A-5-2-43-16S-1,LupLancExp1-1-A-A-5-2-43-ITS-1,2_43,126 Days,3,Kaolinite,White Clover,66.24250724,0.265235322
LupLancExp1-1-A-G-1-2-44-16S-1,LupLancExp1-1-A-G-1-2-44-ITS-1,2_44,126 Days,4,Kaolinite,White Clover,70.56265725,0.263857771
LupLancExp1-1-A-A-1-2-45-16S-1,LupLancExp1-1-A-A-1-2-45-ITS-1,2_45,126 Days,5,Kaolinite,White Clover,68.47639108,0.295555415
LupLancExp1-1-A-G-9-2-46-16S-1,LupLancExp1-1-A-G-9-2-46-ITS-1,2_46,126 Days,1,Montmorillonite,No Litter,0,0
LupLancExp1-1-A-E-2-2-47-16S-1,LupLancExp1-1-A-E-2-2-47-ITS-1,2_47,126 Days,2,Montmorillonite,No Litter,0,0
LupLancExp1-1-A-C-6-2-48-16S-1,LupLancExp1-1-A-C-6-2-48-ITS-1,2_48,126 Days,3,Montmorillonite,No Litter,0,0
LupLancExp1-1-A-B-6-2-49-16S-1,LupLancExp1-1-A-B-6-2-49-ITS-1,2_49,126 Days,4,Montmorillonite,No Litter,0,0
LupLancExp1-1-A-H-5-2-50-16S-1,LupLancExp1-1-A-H-5-2-50-ITS-1,2_50,126 Days,5,Montmorillonite,No Litter,0,0
LupLancExp1-1-A-A-9-2-51-16S-1,LupLancExp1-1-A-A-9-2-51-ITS-1,2_51,126 Days,1,Montmorillonite,Winter Wheat,35.87321003,0.51236025
LupLancExp1-1-A-B-4-2-52-16S-1,LupLancExp1-1-A-B-4-2-52-ITS-1,2_52,126 Days,2,Montmorillonite,Winter Wheat,37.68879247,0.510748823
LupLancExp1-1-A-A-2-2-53-16S-1,LupLancExp1-1-A-A-2-2-53-ITS-1,2_53,126 Days,3,Montmorillonite,Winter Wheat,36.65347868,0.508709417
LupLancExp1-1-A-C-1-2-54-16S-1,LupLancExp1-1-A-C-1-2-54-ITS-1,2_54,126 Days,4,Montmorillonite,Winter Wheat,39.28987812,0.459278509
LupLancExp1-1-A-C-10-2-55-16S-1,LupLancExp1-1-A-C-10-2-55-ITS-1,2_55,126 Days,5,Montmorillonite,Winter Wheat,32.95746441,0.524313729
LupLancExp1-1-A-B-3-2-56-16S-1,LupLancExp1-1-A-B-3-2-56-ITS-1,2_56,126 Days,1,Montmorillonite,White Clover,59.7756585,0.304784827
LupLancExp1-1-A-B-2-2-57-16S-1,LupLancExp1-1-A-B-2-2-57-ITS-1,2_57,126 Days,2,Montmorillonite,White Clover,59.08082149,0.333170766
LupLancExp1-1-A-D-2-2-58-16S-1,LupLancExp1-1-A-D-2-2-58-ITS-1,2_58,126 Days,3,Montmorillonite,White Clover,62.07319157,0.310187891
LupLancExp1-1-A-F-6-2-59-16S-1,LupLancExp1-1-A-F-6-2-59-ITS-1,2_59,126 Days,4,Montmorillonite,White Clover,58.53622781,0.333724686
LupLancExp1-1-A-C-7-2-60-16S-1,LupLancExp1-1-A-C-7-2-60-ITS-1,2_60,126 Days,5,Montmorillonite,White Clover,57.9038833,0.329169152
