Sample,Timepoint,Block,Mineral,Litter,respired_litter_c_perc_T15,mbc_litter_c_perc_T15,respired_litter_c_perc_T126,maom_litter_c_perc_T126,lightpom_litter_c_perc_T126,heavypom_litter_c_perc_T126,totalpom_litter_c_perc_T126,mbc_litter_c_perc_T126,primed_c_mug_g_T126,maom_formation_efficiency,total_maom_c_content_mg_g,litter_maom_c_content_mg_g,som_maom_c_content_mg_g,CUE_T15
41,2,1,Kaolinite,White Clover,39.16472626,1.293192209,71.41331507,25.67193655,0.253792351,1.321505704,1.575298055,0.855469652,66.61381146,0.26442674,16.54764143,1.451559062,15.09608237,0.031963884
42,2,2,Kaolinite,White Clover,40.90297321,1.191279464,71.78294106,24.2934142,0.838975775,1.271435259,2.110411034,0.824054786,42.05882552,0.252855285,16.44705812,1.338959174,15.10809894,0.028300288
43,2,3,Kaolinite,White Clover,38.80408158,1.444558249,70.43262982,23.91221737,0.46026644,1.435533966,1.895800406,0.829919321,27.99262188,0.265235322,16.67455709,1.350077141,15.32447995,0.035890859
44,2,4,Kaolinite,White Clover,36.97348569,1.118683887,70.56265725,25.29199484,0.349101545,1.025212166,1.374313711,0.996784569,27.5634772,0.263857771,16.85334874,1.378812772,15.47453597,0.029367818
45,2,5,Kaolinite,White Clover,38.50140978,1.284263982,68.47639108,28.72982293,0.9776204,2.250876533,3.228496933,1.034299152,-35.15733489,0.295555415,17.72307692,1.61157162,16.1115053,0.032279558
46,2,1,Montmorillonite,No Litter,,,,,,,,,,,15.17822523,,15.17822523,
47,2,2,Montmorillonite,No Litter,,,,,,,,,,,14.74156156,,14.74156156,
48,2,3,Montmorillonite,No Litter,,,,,,,,,,,16.19036036,,16.19036036,
49,2,4,Montmorillonite,No Litter,,,,,,,,,,,15.77770571,,15.77770571,
50,2,5,Montmorillonite,No Litter,,,,,,,,,,,14.48928,,14.48928,
51,2,1,Montmorillonite,Winter Wheat,19.65178285,,35.87321003,37.69177326,4.370398834,2.754386163,7.124784997,0.688237361,37.01971769,0.51236025,17.08452948,2.293272462,14.79125701,
52,2,2,Montmorillonite,Winter Wheat,20.14462831,1.035400346,38.38999714,39.34483412,4.408053702,2.690115164,7.098168866,0.807308966,45.77677079,0.510748823,17.89711323,2.377826502,15.51928672,0.048885691
53,2,3,Montmorillonite,Winter Wheat,19.39663542,1.500001976,36.65347868,37.95303723,6.534980354,3.331103716,9.866084069,0.909794446,38.6638045,0.508709417,17.58016514,2.359291992,15.22087315,0.071781978
54,2,4,Montmorillonite,Winter Wheat,19.89583848,,39.60867198,33.3720722,3.902809027,2.323617443,6.22642647,0.798756264,32.51531848,0.459278509,16.69206,1.968793527,14.72326647,
55,2,5,Montmorillonite,Winter Wheat,18.29250722,1.417721331,32.95746441,36.32657097,6.965606796,1.483309374,8.448916169,0.983917742,14.04703055,0.524313729,17.415096,2.289578871,15.12551713,0.071928204
56,2,1,Montmorillonite,White Clover,33.20346106,1.190811927,59.7756585,26.20586318,3.442934912,0.71115629,4.154091202,1.008308554,107.677464,0.304784827,16.55508674,1.523900128,15.03118661,0.03462239
57,2,2,Montmorillonite,White Clover,33.73612147,1.084034729,61.33901293,29.5188056,1.246667252,1.199031816,2.445699068,0.62728692,22.25735151,0.333170766,16.96418563,1.675560326,15.2886253,0.031132391
58,2,3,Montmorillonite,White Clover,35.0202985,0.804659557,62.07319157,27.91245922,1.172677866,1.50652073,2.679198596,0.608544488,33.57164946,0.310187891,17.18584761,1.640251547,15.54559606,0.022460865
59,2,4,Montmorillonite,White Clover,31.70486934,0.73863953,58.53622781,29.31968781,1.53989707,0.73128501,2.27118208,0.950103355,58.33110416,0.333724686,16.87150953,1.642976354,15.22853317,0.022766943
60,2,5,Montmorillonite,White Clover,29.9632493,1.214693603,57.9038833,28.41278432,1.877720389,0.60322421,2.480944599,0.763303072,-7.355036735,0.329169152,17.0101002,1.570729926,15.43937027,0.03896003
