index,predicted_copy_number
ASV290,1.626598163
ASV291,2.242929062
ASV292,3.497424761
ASV293,2.503853056
ASV294,2.065435088
ASV295,1.900419608
ASV296,2.266264608
ASV297,1.797664797
ASV298,1.389766513
ASV299,3.343233068
ASV300,2.254222932
ASV301,1.299722801
ASV302,2.927649503
ASV303,6.499824615
ASV304,1.298224356
ASV305,2.84920337
ASV306,3.680619426
ASV307,2.468034926
ASV308,1.643713771
ASV309,1.416100648
ASV310,1.939787355
ASV311,1.565250663
ASV312,2.471358009
ASV313,1.979573882
ASV314,8.764593536
ASV315,2.8106661
ASV316,2.558078626
ASV317,1.257531875
ASV318,1.823495042
ASV319,2.555985455
ASV320,3.053630714
ASV321,2.782922486
ASV322,2.184717389
ASV323,1.788622286
ASV324,1.150996409
ASV325,1.581292109
ASV326,2.494693794
ASV327,3.57450924
ASV328,1.34623879
ASV329,2.316311393
ASV330,1.975328122
ASV331,1.284460482
ASV332,2.271513029
ASV333,1.104816604
ASV334,4.804348579
ASV335,2.057558545
ASV336,1.35372429
ASV337,2.817675781
ASV338,2.282525151
ASV339,2.028800529
ASV340,1.990159852
ASV341,1.961798133
ASV342,1.354593867
ASV343,3.390105042
ASV344,12.98510498
ASV345,2.259632867
ASV346,2.322998553
ASV347,2.450086719
ASV348,2.081634013
ASV349,1.239947905
ASV350,2.750899223
ASV351,11.70613616
ASV352,2.732539295
ASV353,1.832740257
ASV354,1.100828151
ASV355,1.128423637
ASV356,1.271487553
ASV357,2.148735411
ASV358,1.522017588
ASV359,1.850197045
ASV360,2.003883434
ASV361,3.102940697
ASV362,1.636662949
ASV363,1.853856448
ASV364,3.028811607
ASV365,1.557106327
ASV366,1.375935901
ASV367,1.631036241
ASV368,1.687633361
ASV369,1.914054885
ASV370,1.382572085
ASV371,2.933750896
ASV372,2.197873221
ASV373,3.755199816
ASV374,1.504326571
ASV375,2.131515663
ASV376,1.530924659
ASV377,2.123822571
ASV378,3.500335741
ASV379,1.715257569
ASV380,4.711417511
ASV381,1.423672916
ASV382,1.626197689
ASV383,2.39320488
ASV384,1.494619702
ASV385,1.805795027
ASV386,3.754123722
ASV387,1.693653283
ASV388,1.675942946
ASV389,3.372341226
ASV390,1.774629232
ASV391,2.600604239
ASV392,1.610193519
ASV393,1.574069072
ASV394,2.634775193
ASV395,1.331861972
ASV396,1.393897378
ASV397,2.600242267
ASV398,4.594944818
ASV399,2.359045791
ASV400,3.972156774
ASV401,1.589618357
ASV402,1.935773454
ASV403,4.901183141
ASV404,1.630141605
ASV405,2.614097417
ASV406,3.263415174
ASV407,3.179902465
ASV408,1.830810077
ASV409,1.481160877
ASV410,1.90485291
ASV411,3.372362604
ASV412,1.564749629
ASV413,3.096957204
ASV414,1.089816594
ASV415,4.071794924
ASV416,1.766389936
ASV417,1.480997913
ASV418,8.571463121
ASV419,1.894711472
ASV420,2.643252979
ASV421,1.781515293
ASV422,2.814143195
ASV423,1.794684856
ASV424,2.253162134
ASV425,2.037950271
ASV426,1.528782862
ASV427,1.843238847
ASV428,1.881233346
ASV429,2.162098645
ASV430,2.71045142
ASV431,1.964327814
ASV432,2.338166475
ASV433,1.995149791
ASV434,2.165504535
ASV435,1.410444137
ASV436,1.500066753
ASV437,3.761541523
ASV438,1.481795465
ASV439,1.947939365
ASV440,3.780471697
ASV441,2.815395952
ASV442,2.201039589
ASV443,2.064259297
ASV444,1.353997664
ASV445,1.391973171
ASV446,8.890329184
ASV447,2.764280302
ASV448,1.626975897
ASV449,1.453616296
ASV450,1.565167569
ASV451,1.704557411
ASV452,1.390965473
ASV453,4.389072286
ASV454,3.003906794
ASV455,2.494313338
ASV456,1.817505646
ASV457,3.603296131
ASV458,5.643752318
ASV459,1.958902743
ASV460,1.701302266
ASV461,1.438708176
ASV462,3.148700919
ASV463,1.757256166
ASV464,1.990752942
ASV465,1.595052802
ASV466,4.14935229
ASV467,2.472560493
ASV468,1.489419646
ASV469,2.038743168
ASV470,5.495673307
ASV471,5.033695159
